1	2	88
2	3	19
3	4	61
4	5	100
5	6	-25
6	7	61
7	8	-38
8	9	-37
9	10	94
10	11	60
11	12	-22
12	13	-78
13	14	96
14	15	70
15	16	-45
16	17	-64
17	18	-18
18	19	-38
19	20	48
20	21	79
21	22	13
22	23	-51
23	24	31
24	25	66
25	26	57
26	27	-3
27	28	-16
28	29	56
29	30	93
30	31	-18
31	32	-83
32	33	-100
33	34	-97
34	35	41
35	36	67
36	37	-46
37	38	74
38	39	72
39	40	5
40	41	-39
41	42	71
42	43	77
43	44	-28
44	45	56
45	46	-80
46	47	39
47	48	-22
48	49	90
49	50	-23
50	51	-70
51	52	-86
52	53	11
53	54	82
54	55	-77
55	56	98
56	57	41
57	58	52
58	59	-48
59	60	-100
60	61	-35
61	62	83
62	63	-84
63	64	80
64	65	-81
65	66	75
66	67	25
67	68	-99
68	69	-85
69	70	-23
70	71	-94
71	72	-54
72	73	-33
73	74	-91
74	75	-92
75	76	24
76	77	-75
77	78	77
78	79	-81
79	80	96
80	81	65
81	82	-17
82	83	19
83	84	99
84	85	-39
85	86	-79
86	87	-90
87	88	2
88	89	-41
89	90	-70
90	91	90
91	92	-100
92	93	28
93	94	58
94	95	13
95	96	5
96	97	-100
97	98	62
98	99	74
99	100	38
100	101	90
101	102	33
102	103	11
103	104	-40
104	105	-27
105	106	39
106	107	-51
107	108	-90
108	109	-44
109	110	59
110	111	1
111	112	-97
112	113	26
113	114	16
114	115	10
115	116	99
116	117	66
117	118	-28
118	119	46
119	120	91
120	121	-86
121	122	-85
122	123	-42
123	124	-83
124	125	-17
125	126	-60
126	127	94
127	128	-55
128	129	-3
129	130	-64
130	131	-90
131	132	-33
132	133	82
133	134	-32
134	135	-13
135	136	88
136	137	-19
137	138	55
138	139	-45
139	140	82
140	141	36
141	142	-22
142	143	-42
143	144	-69
144	145	-90
145	146	-67
146	147	-31
147	148	45
148	149	-69
149	150	-86
150	151	-46
151	152	-21
152	153	-39
153	154	-72
154	155	-95
155	156	38
156	157	41
157	158	-74
158	159	-19
159	160	-98
160	161	75
161	162	-71
162	163	-80
163	164	94
164	165	-92
165	166	74
166	167	-6
167	168	77
168	169	43
169	170	77
170	171	-99
171	172	30
172	173	-90
173	174	-63
174	175	20
175	176	-54
176	177	-54
177	178	-24
178	179	11
179	180	72
180	181	-6
181	182	-79
182	183	-63
183	184	-31
184	185	28
185	186	38
186	187	68
187	188	98
188	189	-42
189	190	-18
190	191	-40
191	192	63
192	193	-16
193	194	98
194	195	59
195	196	0
196	197	60
197	198	-20
198	199	-91
199	200	-15
200	201	-69
201	202	38
202	203	38
203	204	-78
204	205	-65
205	206	-44
206	207	43
207	208	-53
208	209	22
209	210	-38
210	211	65
211	212	-48
212	213	86
213	214	44
214	215	96
215	216	24
216	217	55
217	218	24
218	219	-83
219	220	20
220	221	77
221	222	-96
222	223	-48
223	224	-66
224	225	-6
225	226	72
226	227	68
227	228	76
228	229	-27
229	230	79
230	231	-80
231	232	-36
